osmid,y,x,highway,street_count,junction,geometry
391815775,13.0844327,80.1942227,,4,,POINT (80.1942227 13.0844327)
391815776,13.0849896,80.1931287,,3,,POINT (80.1931287 13.0849896)
391815777,13.0849173,80.1942752,,4,,POINT (80.1942752 13.0849173)
391815778,13.0853719,80.1943183,,4,,POINT (80.1943183 13.0853719)
391815779,13.0858749,80.194377,,4,,POINT (80.194377 13.0858749)
391815786,13.086801,80.198014,,1,,POINT (80.198014 13.086801)
391815788,13.0853853,80.1979772,,3,,POINT (80.1979772 13.0853853)
391815789,13.0832306,80.1979553,,3,,POINT (80.1979553 13.0832306)
391815792,13.0855498,80.1971713,,3,,POINT (80.1971713 13.0855498)
391815794,13.0855213,80.1979798,,3,,POINT (80.1979798 13.0855213)
391815796,13.0852178,80.1971627,,3,,POINT (80.1971627 13.0852178)
391815798,13.0852042,80.1979683,,3,,POINT (80.1979683 13.0852042)
391815799,13.0849069,80.1971509,,4,,POINT (80.1971509 13.0849069)
391815801,13.0848944,80.1979627,,3,,POINT (80.1979627 13.0848944)
391815802,13.0841648,80.1971269,,3,,POINT (80.1971269 13.0841648)
391815804,13.0841413,80.1979493,,3,,POINT (80.1979493 13.0841413)
391815805,13.0838591,80.1971137,,3,,POINT (80.1971137 13.0838591)
391815806,13.0838471,80.1979547,,3,,POINT (80.1979547 13.0838471)
391815807,13.0835432,80.1979463,,3,,POINT (80.1979463 13.0835432)
391835387,13.0054693,80.2032651,,3,,POINT (80.2032651 13.0054693)
391835388,13.005515,80.2040041,,3,,POINT (80.2040041 13.005515)
391847431,13.0159651,80.2109067,,3,,POINT (80.2109067 13.0159651)
391847432,13.0166318,80.2109009,,3,,POINT (80.2109009 13.0166318)
391847433,13.0157166,80.2119266,,4,,POINT (80.2119266 13.0157166)
391847436,13.0161161,80.2093331,,3,,POINT (80.2093331 13.0161161)
391847437,13.016203,80.208664,,3,,POINT (80.208664 13.016203)
391847440,13.015607,80.2085905,,3,,POINT (80.2085905 13.015607)
391852241,13.0057538,80.205247,,3,,POINT (80.205247 13.0057538)
391852242,13.005794,80.2046305,,1,,POINT (80.2046305 13.005794)
